checkpoint_path,mistral,rlhf,anthropic,dahoas
-3.485044240951538,-3.1839640140533447,-3.485044240951538,-2.088197947,-1.559864998
-3.9837193489074707,-5.630107402801514,-3.9837193489074707,-6.220088005,-5.693430424
-0.7491283416748047,0.9810059666633606,-0.7491283416748047,0.45817428827285767,0.098076515
-2.2908241748809814,-1.8500640392303467,-2.2908241748809814,-1.607000589,-1.39297986
-0.895788848400116,0.5585830807685852,-0.895788848400116,-1.546182513,-1.054877043
-0.6314454674720764,-1.9567697048187256,-0.6314454674720764,-1.664470553,-2.649186373
-1.8594226837158203,-1.0380924940109253,-1.8594226837158203,-1.508958697,-2.137785196
-1.707252860069275,-4.682234287261963,-1.707252860069275,-1.208874106,-1.746588111
-4.887157440185547,-4.109536647796631,-4.887157440185547,-3.47475481,-3.554923773
-3.833402156829834,-1.6498794555664062,-3.833402156829834,-0.113458857,-3.708357334
-2.9922947883605957,-3.19928240776062,-2.9922947883605957,-3.818538666,-1.443413973
-4.663055896759033,-4.199823379516602,-4.663055896759033,-3.316310883,-4.56300354
-1.0582863092422485,-1.064805030822754,-1.0582863092422485,-7.375528336,-6.692755222
-0.16390514373779297,-1.5927633047103882,-0.16390514373779297,-1.003301382,-0.836510539
-1.1076874732971191,-0.720416784286499,-1.1076874732971191,-5.575427532,-4.238363266
-1.3155592679977417,-0.6620164513587952,-1.3155592679977417,-0.414706409,0.2008994072675705
-1.7584316730499268,-3.9408960342407227,-1.7584316730499268,-1.063106775,-6.449389935
-2.2591378688812256,-4.975101947784424,-2.2591378688812256,-4.518168926,-0.90609169
-0.3519956171512604,-4.31710147857666,-0.3519956171512604,0.090675883,1.2314765453338623
-1.2828302383422852,-1.0357863903045654,-1.2828302383422852,-2.006499529,-1.957911491
-2.4047701358795166,-2.2895472049713135,-2.4047701358795166,-1.913629293,-1.616956711
-3.878551483154297,-3.012946367263794,-3.878551483154297,-3.856917858,-2.841063261
-1.2507692575454712,-1.0757391452789307,-1.2507692575454712,-0.798550904,-1.188809156
-1.81565260887146,-2.0706589221954346,-1.81565260887146,-4.33810854,-4.004916668
-2.6746299266815186,-2.042222738265991,-2.6746299266815186,-2.303711176,-2.219948769
-6.87772798538208,-2.9313600063323975,-6.87772798538208,-4.991795063,-4.013906479
-2.1580777168273926,-2.725156307220459,-2.1580777168273926,-1.485006928,-2.113026857
-2.120131492614746,-2.8436708450317383,-2.120131492614746,-2.828110933,-2.877579689
-5.941104412078857,-2.371962785720825,-5.941104412078857,-2.363841057,-0.751529634
-1.7328500747680664,-1.9512548446655273,-1.7328500747680664,-0.797361672,-1.454641223
-2.512636661529541,-1.105552077293396,-2.512636661529541,-1.12019372,-0.92228204
-0.9093769192695618,1.4137675762176514,-0.9093769192695618,2.1266863346099854,-3.294766188
-3.0729637145996094,-4.639000415802002,-3.0729637145996094,-4.132953644,-5.108308315
-1.1617584228515625,-1.9141196012496948,-1.1617584228515625,-1.929742813,-1.133035779
-1.119284749031067,-1.2587878704071045,-1.119284749031067,-0.633438528,-0.775878847
-6.514123439788818,-5.677163124084473,-6.514123439788818,-2.253682375,-6.224300861
-1.6499688625335693,-3.065915584564209,-1.6499688625335693,-1.849705338,-2.946312189
-1.8527592420578003,-2.107323169708252,-1.8527592420578003,-1.476842046,-0.854889214
-4.101941108703613,-4.7473368644714355,-4.101941108703613,-4.07060957,-5.700658798
-3.451873302459717,-1.9899718761444092,-3.451873302459717,-2.167617559,-1.258143663
-3.6402711868286133,-3.9482920169830322,-3.6402711868286133,-2.809575319,-1.461802244
-1.648349404335022,-5.334299564361572,-1.648349404335022,-3.506038427,-3.032962322
-1.0814193487167358,-1.7337121963500977,-1.0814193487167358,-6.048045158,-5.82986784
-4.446253776550293,-3.307861328125,-4.446253776550293,-2.68881917,-1.580735564
-1.6359413862228394,-1.9227477312088013,-1.6359413862228394,-3.174566746,-4.130458832
-3.286104202270508,-3.8188748359680176,-3.286104202270508,-4.139729977,-3.578624725
-0.7735626697540283,-1.329094648361206,-0.7735626697540283,-1.264190793,-1.469431281
-1.2952954769134521,-1.850407600402832,-1.2952954769134521,-1.659657955,-1.261471152
-1.6112689971923828,-1.2883092164993286,-1.6112689971923828,-1.505161524,-2.179953814
-4.744685649871826,-1.1255322694778442,-4.744685649871826,-4.675543308,-1.261673808
-2.052917003631592,-6.8419389724731445,-2.052917003631592,-7.072908401,-5.850467205
-1.7461035251617432,-1.7477623224258423,-1.7461035251617432,-1.454341531,-1.504676223
-0.8941681385040283,-2.5945885181427,-0.8941681385040283,-2.948864937,-5.166441441
-1.0037461519241333,-1.7282813787460327,-1.0037461519241333,-1.308866739,-1.498164535
-3.7525880336761475,-2.292100191116333,-3.7525880336761475,-1.174494386,-1.399832249
-1.8295954465866089,-1.981632113456726,-1.8295954465866089,-1.99088645,-1.596673369
-1.9238431453704834,-1.7641940116882324,-1.9238431453704834,0.292132705,0.5058693885803223
-5.088525295257568,-4.537162780761719,-5.088525295257568,-3.363051414,-1.243242502
-1.380599021911621,-2.027452230453491,-1.380599021911621,-2.10761857,-4.057731152
-1.7707796096801758,-1.6669683456420898,-1.7707796096801758,-2.006888151,-6.387253284
-2.0181915760040283,-4.939662456512451,-2.0181915760040283,-5.789151669,-1.752965689
-1.031771183013916,-5.89476203918457,-1.031771183013916,-7.895092487,-6.233781815
-6.077708721160889,-5.549595832824707,-6.077708721160889,-4.030548573,-6.517574787
-1.0035375356674194,-0.746187686920166,-1.0035375356674194,-0.818097889,-0.889132142
-1.5798170566558838,-5.516971111297607,-1.5798170566558838,-5.176890373,-6.228709698
-3.0524325370788574,-5.261137962341309,-3.0524325370788574,-3.756915569,-2.444479942
-0.4131503701210022,-0.9652184844017029,-0.4131503701210022,-1.253799677,-1.1370579
-1.996524691581726,-5.370646953582764,-1.996524691581726,-3.924001932,-1.640310645
1.4124433994293213,-0.3771090507507324,1.4124433994293213,-1.759125113,-4.139073372
-2.2408783435821533,-1.3799985647201538,-2.2408783435821533,-1.330191016,-1.022492886
-3.978532075881958,-6.284826755523682,-3.978532075881958,-1.893962622,-6.762924194
-2.0431182384490967,-1.8536275625228882,-2.0431182384490967,-1.256155133,-1.032920241
-3.985318660736084,-5.359769344329834,-3.985318660736084,-1.908676624,-2.964707613
-1.063503623008728,-1.63168203830719,-1.063503623008728,-0.839597404,-1.412131429
-5.689737796783447,-4.472283840179443,-5.689737796783447,-4.48401165,-6.446388721
